"SlNo","ProductDescription","AdmissionNo","LoanNo","Scheme","CropDescription","SanctionedDate","SanctionedAmount","LoanPeriod","DueDate","ROIPercentage","PenalROIPercentage","IODPercentage","OutstandingPrincipal","OutstandingInterest","PacsId","BranchId"
,"Normal KCC","27","54","Normal","Sugar Cane Plant","2023-06-19","100000","12","2024-06-18","12","0.01","12.01","100000","0","91150301037001",
,"Normal KCC","81","55","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","82","56","Normal","Sugar Cane Plant","2023-06-19","70000","12","2024-06-18","12","0.01","12.01","70000","0","91150301037001",
,"Normal KCC","80","57","Normal","Sugar Cane Plant","2023-06-19","39000","12","2024-06-18","12","0.01","12.01","39000","0","91150301037001",
,"Normal KCC","67","59","Normal","Sugar Cane Plant","2023-06-19","95000","12","2024-06-18","12","0.01","12.01","95000","0","91150301037001",
,"Normal KCC","78","61","Normal","Sugar Cane Plant","2023-06-19","4500","12","2024-06-18","12","0.01","12.01","4500","0","91150301037001",
,"Normal KCC","79","62","Normal","Sugar Cane Plant","2023-06-19","4500","12","2024-06-18","12","0.01","12.01","4500","0","91150301037001",
,"Normal KCC","83","63","Normal","Sugar Cane Plant","2023-06-19","10000","12","2024-06-18","12","0.01","12.01","10000","0","91150301037001",
,"Normal KCC","77","64","Normal","Sugar Cane Plant","2023-06-19","4500","12","2024-06-18","12","0.01","12.01","4500","0","91150301037001",
,"Normal KCC","76","66","Normal","Sugar Cane Plant","2023-06-19","4500","12","2024-06-18","12","0.01","12.01","4500","0","91150301037001",
,"Normal KCC","51","67","Normal","Sugar Cane Plant","2023-06-19","10000","12","2024-06-18","12","0.01","12.01","10000","0","91150301037001",
,"Normal KCC","53","68","Normal","Sugar Cane Plant","2023-06-19","9600","12","2024-06-18","12","0.01","12.01","9600","0","91150301037001",
,"Normal KCC","61","69","Normal","Sugar Cane Plant","2023-06-19","8000","12","2024-06-18","12","0.01","12.01","8000","0","91150301037001",
,"Normal KCC","60","70","Normal","Sugar Cane Plant","2023-06-19","8000","12","2024-06-18","12","0.01","12.01","8000","0","91150301037001",
,"Normal KCC","72","72","Normal","Sugar Cane Plant","2023-06-19","90000","12","2024-06-18","12","0.01","12.01","90000","0","91150301037001",
,"Normal KCC","87","75","Normal","Sugar Cane Plant","2023-06-19","140000","12","2024-06-18","12","0.01","12.01","140000","0","91150301037001",
,"Normal KCC","88","76","Normal","Sugar Cane Plant","2023-06-19","130000","12","2024-06-18","12","0.01","12.01","130000","0","91150301037001",
