"AdmissionNo","ProductDescription","LoanNo","TransactionDate","LedgerFolioNo","DisbursementAmount","OtherChargesDebitAmount","CollectedPrincipal","CollectedInterest","CollectedPenalInterest","CollectedIOD","CollectedOthers","BalancePrincipal","BalanceInterest","BalancePenalInterest","BalanceIOD","Charges","PacsId","BranchId"
"727","Long Term Agri Loans","4 - D","2019-07-01","2","9,00,000.00 ","0","0","0","0","0","0","5,00,000.00 ","0","0","0","0","91150108064001",
"69","Long Term Agri Loans","5 - D","2019-08-08","2","8,50,000.00 ","0","0","0","0","0","0","4,25,000.00 ","0","0","0","0","91150108064001",
"606","Long Term Agri Loans","6 - D","2020-09-11","2","7,00,000.00 ","0","0","0","0","0","0","2,10,000.00 ","0","0","0","0","91150108064001",
"725","Long Term Agri Loans","7 - D","2020-10-08","2","9,00,000.00 ","0","0","0","0","0","0","3,60,000.00 ","0","0","0","0","91150108064001",
"103","Long Term Agri Loans","8 - D","2020-10-27","2","9,00,000.00 ","0","0","0","0","0","0","3,60,000.00 ","0","0","0","0","91150108064001",
"1806","Long Term Agri Loans","9 - D","2021-04-16","2","6,00,000.00 ","0","0","0","0","0","0","3,00,000.00 ","0","0","0","0","91150108064001",
"1974","Long Term Agri Loans","5 - P","2019-07-26","2","9,00,000.00 ","0","0","0","0","0","0","4,00,000.00 ","0","0","0","0","91150108064001",
"1366","Long Term Agri Loans","6 - P","2020-05-28","2","6,00,000.00 ","0","0","0","0","0","0","4,00,002.00 ","0","0","0","0","91150108064001",
"2457","Long Term Agri Loans","8 - P","2023-02-21","2","9,00,000.00 ","0","0","0","0","0","0","4,50,000.00 ","0","0","0","0","91150108064001",
