SlNo,AdmissionNo,ProductDescription,LoanNo,Scheme,PurposeDescription,SanctionedDate,SanctionedAmount,RepaymentFrequency,LoanPeriod,GestationPeriod,FirstInstallmentDate,InstallmentAmount,DueDate,ROIPercentage,PenalROIPercentage,IODPercentage,LANo,LCNo,LCDate,DCCBLoanAccountNo,OutstandingPrincipal,OutstandingInterest,PacsId,BranchId
,727,Long Term Agri Loans,4 - D,Normal,Dairy LTO,01-07-2019,"9,00,000.00",Quarterly,60,0,30-12-2019,100000,30-06-2028,9.9,3,12.9,,,,,"5,00,000.00",0,91150108064001,
,69,Long Term Agri Loans,5 - D,Normal,Dairy LTO,08-08-2019,"8,50,000.00",Quarterly,60,0,06-02-2020,106250,07-08-2027,9.9,3,12.9,,,,,"4,25,000.00",0,91150108064001,
,606,Long Term Agri Loans,6 - D,Normal,Dairy LTO,11-09-2020,"7,00,000.00",Quarterly,60,0,12-03-2021,70000,10-09-2025,7.8,3,10.8,,,,,"2,10,000.00",0,91150108064001,
,725,Long Term Agri Loans,7 - D,Normal,Dairy LTO,08-10-2020,"9,00,000.00",Quarterly,60,0,08-04-2021,90000,07-10-2025,7.8,3,10.8,,,,,"3,60,000.00",0,91150108064001,
,103,Long Term Agri Loans,8 - D,Normal,Dairy LTO,27-10-2020,"9,00,000.00",Quarterly,60,0,27-04-2021,90000,26-10-2025,7.8,3,10.8,,,,,"3,60,000.00",0,91150108064001,
,1806,Long Term Agri Loans,9 - D,Normal,Dairy LTO,16-04-2021,"6,00,000.00",Quarterly,60,0,13-10-2023,60000,15-04-2026,9.1,3,12.1,,,,,"3,00,000.00",0,91150108064001,
,1974,Long Term Agri Loans,5 - P,Normal,Poultry-MTO,26-07-2019,"9,00,000.00",Quarterly,60,0,16-10-2023,100000,14-02-2028,10,3,13,,,,,"4,00,000.00",0,91150108064001,
,1366,Long Term Agri Loans,6 - P,Normal,Poultry-MTO,28-05-2020,"6,00,000.00",Quarterly,60,0,17-10-2023,66666,27-05-2029,7.8,3,10.8,,,,,"4,00,002.00",0,91150108064001,
,2457,Long Term Agri Loans,8 - P,Normal,Poultry-MTO,21-02-2023,"9,00,000.00",Quarterly,60,0,18-10-2023,90000,20-08-2026,9.1,3,12.1,,,,,"4,50,000.00",0,91150108064001,
