"admission_no","admission_date","deposit_date"
"712","2021-04-05","2018-03-31"
"714","2021-04-05","2018-03-31"
"715","2021-04-05","2018-03-31"
"716","2021-04-05","2018-03-31"
"717","2021-04-05","2018-03-31"
"719","2021-04-05","2018-03-31"
"721","2021-04-05","2018-03-31"
"722","2021-04-05","2018-03-31"
"725","2021-04-05","2018-03-31"
"727","2021-04-05","2018-03-31"
"729","2021-04-05","2018-03-31"
"730","2021-04-05","2018-03-31"
"732","2021-04-05","2018-03-31"
"734","2021-04-05","2018-03-31"
"735","2021-04-05","2018-03-31"
"739","2021-04-05","2018-03-31"
"742","2021-04-05","2018-03-31"
"747","2021-04-05","2018-03-31"
"748","2021-04-05","2018-03-31"
"753","2021-04-05","2018-03-31"
"754","2021-04-05","2018-03-31"
"756","2021-04-05","2018-03-31"
"757","2021-04-05","2018-03-31"
"758","2021-04-05","2018-03-31"
"576","2021-04-05","2018-03-31"
"713","2021-04-05","2018-03-31"
"733","2021-04-05","2018-03-31"
"755","2021-04-05","2018-03-31"
"883","2024-01-10","2018-03-31"
"601","2024-01-10","2018-03-31"
"633","2024-01-10","2018-03-31"
"913","2024-01-10","2018-03-31"
"916","2024-01-10","2018-03-31"
